Flight Number,Departure Airport,Arrival Airport,Departure Time,Arrival Time,Delay Minutes,Weather Condition,Delay Reason,Airline
LU195,DFW,SIN,2025-02-05 09:00:00,2025-02-05 15:00:00,176,Snow,Air Traffic,Lufthansa
DE897,CDG,LHR,2025-03-03 04:00:00,2025-03-03 06:00:00,22,Fog,Air Traffic,Delta
LU495,JFK,LAX,2025-03-03 19:00:00,2025-03-04 05:00:00,26,Clear,Weather,Lufthansa
UN466,DXB,ORD,2025-03-17 08:00:00,2025-03-17 16:00:00,127,Heavy Rain,Technical Issue,United
EM792,DFW,AMS,2025-01-12 19:00:00,2025-01-13 01:00:00,150,Snow,Air Traffic,Emirates
LU108,SIN,LHR,2025-01-14 04:00:00,2025-01-14 08:00:00,74,Heavy Rain,Weather,Lufthansa
UN616,SIN,JFK,2025-01-07 13:00:00,2025-01-07 22:00:00,17,Clear,Security,United
DE400,DFW,LHR,2025-03-24 07:00:00,2025-03-24 09:00:00,144,Heavy Rain,Crew Issues,Delta
AI550,ATL,DFW,2025-03-11 18:00:00,2025-03-12 01:00:00,89,Fog,Weather,Air France
LU468,LAX,DFW,2025-03-13 08:00:00,2025-03-13 16:00:00,91,Fog,Crew Issues,Lufthansa
EM928,DXB,CDG,2025-02-02 05:00:00,2025-02-02 11:00:00,43,Heavy Rain,Crew Issues,Emirates
UN146,DFW,LHR,2025-03-26 10:00:00,2025-03-26 16:00:00,18,Clear,Crew Issues,United
DE111,DXB,JFK,2025-01-14 14:00:00,2025-01-14 16:00:00,117,Storm,Weather,Delta
UN415,SIN,CDG,2025-03-17 23:00:00,2025-03-18 05:00:00,27,Clear,Air Traffic,United
LU560,LAX,AMS,2025-02-10 03:00:00,2025-02-10 10:00:00,8,Clear,Weather,Lufthansa
UN350,ORD,LHR,2025-03-23 18:00:00,2025-03-24 00:00:00,9,Storm,Crew Issues,United
EM381,DFW,CDG,2025-02-02 21:00:00,2025-02-02 23:00:00,14,Clear,Weather,Emirates
EM922,DXB,AMS,2025-02-28 16:00:00,2025-02-28 18:00:00,2,Clear,Weather,Emirates
EM813,AMS,JFK,2025-03-10 04:00:00,2025-03-10 11:00:00,22,Heavy Rain,Air Traffic,Emirates
LU545,SIN,ORD,2025-01-17 20:00:00,2025-01-18 06:00:00,18,Clear,Weather,Lufthansa
AI870,JFK,LAX,2025-02-01 01:00:00,2025-02-01 10:00:00,25,Clear,Technical Issue,Air France
EM952,LAX,JFK,2025-02-23 11:00:00,2025-02-23 17:00:00,26,Clear,Technical Issue,Emirates
AM534,LAX,ATL,2025-02-07 01:00:00,2025-02-07 08:00:00,81,Storm,Weather,American Airlines
AM180,LAX,DFW,2025-02-07 00:00:00,2025-02-07 09:00:00,29,Heavy Rain,Air Traffic,American Airlines
EM645,DFW,ATL,2025-01-10 23:00:00,2025-01-11 01:00:00,27,Clear,Weather,Emirates
AM473,AMS,DFW,2025-03-07 12:00:00,2025-03-07 16:00:00,150,Storm,Weather,American Airlines
UN160,CDG,ATL,2025-01-04 23:00:00,2025-01-05 09:00:00,154,Heavy Rain,Air Traffic,United
EM937,SIN,ORD,2025-01-19 20:00:00,2025-01-20 02:00:00,9,Clear,Weather,Emirates
DE893,JFK,AMS,2025-01-12 13:00:00,2025-01-12 16:00:00,25,Clear,Air Traffic,Delta
DE125,DXB,SIN,2025-03-27 14:00:00,2025-03-27 23:00:00,62,Heavy Rain,Weather,Delta
AI625,ATL,JFK,2025-01-08 16:00:00,2025-01-08 20:00:00,14,Clear,Technical Issue,Air France
AM106,SIN,LHR,2025-03-19 23:00:00,2025-03-20 02:00:00,13,Fog,Weather,American Airlines
LU813,ORD,CDG,2025-01-18 05:00:00,2025-01-18 09:00:00,24,Clear,Air Traffic,Lufthansa
EM311,LHR,SIN,2025-01-17 06:00:00,2025-01-17 13:00:00,11,Clear,Weather,Emirates
AI133,DXB,ATL,2025-01-10 02:00:00,2025-01-10 12:00:00,14,Clear,Technical Issue,Air France
UN542,CDG,DXB,2025-03-24 09:00:00,2025-03-24 19:00:00,19,Clear,Air Traffic,United
LU449,CDG,AMS,2025-02-02 20:00:00,2025-02-03 03:00:00,5,Clear,Weather,Lufthansa
AI421,CDG,LHR,2025-01-09 22:00:00,2025-01-10 02:00:00,39,Storm,Air Traffic,Air France
AI540,ATL,DFW,2025-03-20 05:00:00,2025-03-20 12:00:00,23,Clear,Air Traffic,Air France
LU324,LAX,DXB,2025-01-26 18:00:00,2025-01-27 00:00:00,21,Clear,Air Traffic,Lufthansa
AI238,ATL,JFK,2025-01-12 14:00:00,2025-01-12 16:00:00,63,Storm,Weather,Air France
LU997,ATL,ORD,2025-02-02 05:00:00,2025-02-02 08:00:00,4,Clear,Weather,Lufthansa
AI518,CDG,LAX,2025-03-25 00:00:00,2025-03-25 06:00:00,8,Clear,Technical Issue,Air France
UN687,JFK,AMS,2025-03-03 11:00:00,2025-03-03 14:00:00,23,Clear,Crew Issues,United
DE328,ORD,ATL,2025-01-01 07:00:00,2025-01-01 14:00:00,28,Clear,Weather,Delta
DE848,ORD,AMS,2025-02-06 04:00:00,2025-02-06 08:00:00,153,Fog,Crew Issues,Delta
EM521,SIN,DXB,2025-01-18 07:00:00,2025-01-18 16:00:00,13,Clear,Security,Emirates
UN920,JFK,CDG,2025-03-04 14:00:00,2025-03-04 16:00:00,0,Clear,No Delay,United
UN547,CDG,DXB,2025-02-20 06:00:00,2025-02-20 10:00:00,2,Clear,Air Traffic,United
AI295,ATL,JFK,2025-01-27 03:00:00,2025-01-27 10:00:00,154,Snow,Air Traffic,Air France
LU976,AMS,LAX,2025-01-10 04:00:00,2025-01-10 15:00:00,5,Clear,Technical Issue,Lufthansa
EM229,CDG,ATL,2025-02-25 14:00:00,2025-02-25 23:00:00,14,Clear,Technical Issue,Emirates
AI941,ORD,ATL,2025-02-05 03:00:00,2025-02-05 14:00:00,4,Clear,Security,Air France
UN240,CDG,AMS,2025-01-06 07:00:00,2025-01-06 15:00:00,13,Clear,Air Traffic,United
EM987,CDG,LAX,2025-03-30 00:00:00,2025-03-30 09:00:00,99,Heavy Rain,Crew Issues,Emirates
AI878,DFW,DXB,2025-01-31 08:00:00,2025-01-31 15:00:00,13,Clear,Crew Issues,Air France
DE100,LHR,JFK,2025-02-15 04:00:00,2025-02-15 10:00:00,3,Clear,Weather,Delta
LU412,AMS,CDG,2025-02-09 14:00:00,2025-02-09 20:00:00,20,Clear,Weather,Lufthansa
UN574,DFW,SIN,2025-02-04 19:00:00,2025-02-05 05:00:00,37,Heavy Rain,Weather,United
AI600,LAX,JFK,2025-02-12 11:00:00,2025-02-12 15:00:00,24,Clear,Technical Issue,Air France
DE183,CDG,JFK,2025-02-18 10:00:00,2025-02-18 17:00:00,17,Clear,Air Traffic,Delta
DE835,DXB,JFK,2025-01-20 21:00:00,2025-01-21 04:00:00,28,Clear,Weather,Delta
AM117,LHR,ORD,2025-02-25 18:00:00,2025-02-25 20:00:00,29,Clear,Security,American Airlines
AI930,JFK,ATL,2025-02-16 17:00:00,2025-02-16 20:00:00,112,Storm,Technical Issue,Air France
AI261,ATL,JFK,2025-01-08 22:00:00,2025-01-09 06:00:00,9,Snow,Weather,Air France
AM542,JFK,CDG,2025-02-24 17:00:00,2025-02-25 01:00:00,64,Fog,Technical Issue,American Airlines
AI387,CDG,AMS,2025-03-08 18:00:00,2025-03-08 20:00:00,7,Storm,Weather,Air France
UN874,CDG,ATL,2025-02-06 21:00:00,2025-02-07 03:00:00,22,Clear,Security,United
EM622,JFK,CDG,2025-03-26 18:00:00,2025-03-26 22:00:00,81,Storm,Security,Emirates
AI325,SIN,LAX,2025-03-08 22:00:00,2025-03-09 06:00:00,4,Clear,Weather,Air France
AI826,DFW,ORD,2025-03-27 11:00:00,2025-03-27 20:00:00,29,Clear,Technical Issue,Air France
AI377,JFK,ORD,2025-03-22 13:00:00,2025-03-22 23:00:00,24,Storm,Weather,Air France
DE133,ATL,LAX,2025-03-28 04:00:00,2025-03-28 11:00:00,84,Heavy Rain,Security,Delta
EM126,JFK,AMS,2025-01-25 05:00:00,2025-01-25 16:00:00,116,Fog,Weather,Emirates
UN575,DXB,AMS,2025-02-09 01:00:00,2025-02-09 11:00:00,9,Clear,Crew Issues,United
EM248,SIN,LAX,2025-02-23 10:00:00,2025-02-23 12:00:00,3,Clear,Air Traffic,Emirates
AI505,CDG,ATL,2025-02-28 06:00:00,2025-02-28 15:00:00,97,Storm,Weather,Air France
AI606,DFW,DXB,2025-02-02 03:00:00,2025-02-02 08:00:00,19,Clear,Weather,Air France
DE160,LAX,SIN,2025-01-26 01:00:00,2025-01-26 07:00:00,7,Clear,Air Traffic,Delta
AI201,CDG,SIN,2025-02-08 02:00:00,2025-02-08 06:00:00,11,Clear,Air Traffic,Air France
LU417,LAX,ATL,2025-02-13 16:00:00,2025-02-13 18:00:00,54,Heavy Rain,Technical Issue,Lufthansa
DE565,CDG,ORD,2025-01-08 20:00:00,2025-01-08 22:00:00,117,Fog,Air Traffic,Delta
EM185,DXB,SIN,2025-01-26 14:00:00,2025-01-27 01:00:00,144,Storm,Weather,Emirates
UN926,SIN,LHR,2025-01-14 14:00:00,2025-01-14 20:00:00,114,Fog,Crew Issues,United
AM719,LHR,LAX,2025-02-08 02:00:00,2025-02-08 05:00:00,102,Storm,Weather,American Airlines
DE615,LAX,ATL,2025-02-06 10:00:00,2025-02-06 19:00:00,22,Clear,Weather,Delta
UN410,AMS,SIN,2025-01-13 17:00:00,2025-01-13 19:00:00,169,Heavy Rain,Security,United
LU128,ORD,LAX,2025-01-30 22:00:00,2025-01-31 01:00:00,122,Heavy Rain,Crew Issues,Lufthansa
DE458,JFK,AMS,2025-02-26 15:00:00,2025-02-27 00:00:00,24,Clear,Air Traffic,Delta
LU245,ATL,AMS,2025-03-06 16:00:00,2025-03-06 20:00:00,23,Clear,Weather,Lufthansa
DE443,DFW,SIN,2025-02-17 00:00:00,2025-02-17 06:00:00,72,Heavy Rain,Weather,Delta
AM161,ATL,AMS,2025-03-02 04:00:00,2025-03-02 11:00:00,62,Heavy Rain,Crew Issues,American Airlines
AI984,LAX,SIN,2025-03-12 19:00:00,2025-03-13 00:00:00,19,Clear,Security,Air France
EM153,ORD,LAX,2025-02-26 08:00:00,2025-02-26 10:00:00,119,Heavy Rain,Weather,Emirates
AM789,LHR,JFK,2025-01-09 02:00:00,2025-01-09 07:00:00,60,Heavy Rain,Weather,American Airlines
DE428,LAX,JFK,2025-03-29 02:00:00,2025-03-29 06:00:00,23,Clear,Air Traffic,Delta
AM837,ATL,AMS,2025-01-11 08:00:00,2025-01-11 17:00:00,27,Clear,Technical Issue,American Airlines
AM275,SIN,DXB,2025-03-20 07:00:00,2025-03-20 17:00:00,123,Storm,Weather,American Airlines
AI448,SIN,LAX,2025-03-11 04:00:00,2025-03-11 10:00:00,113,Heavy Rain,Technical Issue,Air France
AM435,ORD,ATL,2025-02-25 07:00:00,2025-02-25 10:00:00,32,Storm,Security,American Airlines
UN455,CDG,JFK,2025-02-28 15:00:00,2025-03-01 01:00:00,12,Clear,Air Traffic,United
AM536,AMS,CDG,2025-01-05 10:00:00,2025-01-05 21:00:00,22,Clear,Weather,American Airlines
DE332,LHR,LAX,2025-01-02 13:00:00,2025-01-02 21:00:00,12,Clear,Air Traffic,Delta
UN332,JFK,DXB,2025-03-01 23:00:00,2025-03-02 03:00:00,18,Clear,Air Traffic,United
DE623,LAX,AMS,2025-01-22 03:00:00,2025-01-22 08:00:00,67,Fog,Weather,Delta
UN369,AMS,JFK,2025-01-10 21:00:00,2025-01-10 23:00:00,23,Clear,Weather,United
AI978,ATL,ORD,2025-02-21 11:00:00,2025-02-21 19:00:00,0,Clear,No Delay,Air France
EM256,ORD,CDG,2025-01-26 01:00:00,2025-01-26 04:00:00,98,Heavy Rain,Technical Issue,Emirates
AI847,ATL,LAX,2025-02-16 13:00:00,2025-02-16 18:00:00,26,Fog,Security,Air France
EM486,CDG,DFW,2025-02-16 15:00:00,2025-02-16 21:00:00,5,Storm,Air Traffic,Emirates
UN370,JFK,LHR,2025-01-15 01:00:00,2025-01-15 05:00:00,24,Clear,Air Traffic,United
AM448,CDG,SIN,2025-01-17 20:00:00,2025-01-18 05:00:00,173,Snow,Technical Issue,American Airlines
DE993,DFW,DXB,2025-03-01 02:00:00,2025-03-01 07:00:00,152,Snow,Weather,Delta
EM485,ATL,DFW,2025-01-09 05:00:00,2025-01-09 15:00:00,21,Clear,Technical Issue,Emirates
UN465,CDG,DXB,2025-01-11 12:00:00,2025-01-11 14:00:00,17,Clear,Air Traffic,United
DE500,AMS,SIN,2025-02-02 05:00:00,2025-02-02 15:00:00,21,Clear,Air Traffic,Delta
DE101,DXB,AMS,2025-03-27 19:00:00,2025-03-27 21:00:00,159,Storm,Crew Issues,Delta
UN785,JFK,LAX,2025-03-18 00:00:00,2025-03-18 05:00:00,6,Clear,Weather,United
EM734,SIN,LAX,2025-01-15 01:00:00,2025-01-15 12:00:00,16,Clear,Crew Issues,Emirates
UN959,AMS,SIN,2025-01-06 08:00:00,2025-01-06 16:00:00,40,Storm,Air Traffic,United
AM226,ATL,CDG,2025-03-16 19:00:00,2025-03-17 00:00:00,21,Storm,Technical Issue,American Airlines
AI455,DXB,LAX,2025-01-12 22:00:00,2025-01-13 08:00:00,121,Heavy Rain,Weather,Air France
AI648,CDG,LHR,2025-02-22 22:00:00,2025-02-23 02:00:00,5,Clear,Air Traffic,Air France
DE431,CDG,SIN,2025-02-28 02:00:00,2025-02-28 13:00:00,28,Clear,Weather,Delta
LU251,JFK,AMS,2025-01-31 23:00:00,2025-02-01 04:00:00,107,Storm,Air Traffic,Lufthansa
UN434,LAX,JFK,2025-02-20 08:00:00,2025-02-20 13:00:00,1,Clear,Technical Issue,United
EM629,LAX,DFW,2025-01-06 06:00:00,2025-01-06 17:00:00,124,Heavy Rain,Weather,Emirates
UN625,CDG,DFW,2025-01-15 00:00:00,2025-01-15 04:00:00,99,Snow,Crew Issues,United
EM722,LAX,CDG,2025-02-06 04:00:00,2025-02-06 11:00:00,29,Clear,Weather,Emirates
DE127,CDG,LHR,2025-03-30 19:00:00,2025-03-30 22:00:00,16,Clear,Weather,Delta
AM109,LAX,ATL,2025-01-05 00:00:00,2025-01-05 09:00:00,163,Storm,Crew Issues,American Airlines
DE232,ORD,LHR,2025-01-14 15:00:00,2025-01-15 02:00:00,11,Clear,Security,Delta
DE206,ATL,DXB,2025-02-12 11:00:00,2025-02-12 13:00:00,21,Clear,Weather,Delta
AI719,DFW,AMS,2025-03-17 04:00:00,2025-03-17 06:00:00,43,Snow,Technical Issue,Air France
DE218,ATL,LAX,2025-03-19 01:00:00,2025-03-19 11:00:00,19,Storm,Weather,Delta
EM341,ORD,LHR,2025-02-28 04:00:00,2025-02-28 06:00:00,11,Storm,Weather,Emirates
LU393,CDG,LAX,2025-03-30 17:00:00,2025-03-31 03:00:00,170,Storm,Technical Issue,Lufthansa
EM228,ATL,CDG,2025-02-14 19:00:00,2025-02-14 22:00:00,22,Clear,Weather,Emirates
UN526,LHR,DXB,2025-01-29 05:00:00,2025-01-29 11:00:00,174,Heavy Rain,Air Traffic,United
DE913,SIN,LAX,2025-03-23 16:00:00,2025-03-24 03:00:00,112,Heavy Rain,Weather,Delta
LU803,ATL,JFK,2025-01-01 18:00:00,2025-01-02 00:00:00,104,Fog,Weather,Lufthansa
DE423,AMS,SIN,2025-02-02 08:00:00,2025-02-02 18:00:00,72,Heavy Rain,Weather,Delta
AM464,LAX,LHR,2025-01-04 05:00:00,2025-01-04 09:00:00,81,Snow,Security,American Airlines
LU810,JFK,DXB,2025-02-23 06:00:00,2025-02-23 16:00:00,0,Clear,No Delay,Lufthansa
UN366,DFW,ORD,2025-03-01 00:00:00,2025-03-01 02:00:00,34,Storm,Weather,United
UN553,ORD,DXB,2025-03-19 09:00:00,2025-03-19 12:00:00,2,Clear,Technical Issue,United
AM442,DFW,SIN,2025-01-12 04:00:00,2025-01-12 07:00:00,43,Storm,Technical Issue,American Airlines
EM223,AMS,LAX,2025-02-12 12:00:00,2025-02-12 18:00:00,22,Clear,Security,Emirates
EM472,DXB,ATL,2025-03-16 18:00:00,2025-03-16 23:00:00,18,Heavy Rain,Weather,Emirates
EM743,ATL,ORD,2025-01-08 15:00:00,2025-01-09 02:00:00,145,Storm,Weather,Emirates
DE544,SIN,DXB,2025-03-16 06:00:00,2025-03-16 17:00:00,158,Snow,Air Traffic,Delta
EM461,SIN,CDG,2025-02-05 19:00:00,2025-02-06 00:00:00,21,Clear,Technical Issue,Emirates
UN732,LHR,AMS,2025-01-21 21:00:00,2025-01-22 07:00:00,14,Snow,Air Traffic,United
AM711,SIN,CDG,2025-01-24 15:00:00,2025-01-24 17:00:00,4,Clear,Weather,American Airlines
DE582,LHR,SIN,2025-01-18 18:00:00,2025-01-18 23:00:00,22,Clear,Technical Issue,Delta
AM749,LAX,JFK,2025-01-21 16:00:00,2025-01-21 23:00:00,14,Clear,Weather,American Airlines
AI736,DXB,SIN,2025-01-25 01:00:00,2025-01-25 05:00:00,145,Storm,Technical Issue,Air France
AI653,LHR,SIN,2025-03-16 06:00:00,2025-03-16 15:00:00,18,Clear,Air Traffic,Air France
LU880,LHR,ATL,2025-02-05 02:00:00,2025-02-05 12:00:00,26,Clear,Weather,Lufthansa
AI911,JFK,ORD,2025-03-01 04:00:00,2025-03-01 10:00:00,7,Clear,Air Traffic,Air France
AM453,SIN,ORD,2025-03-27 05:00:00,2025-03-27 08:00:00,1,Heavy Rain,Weather,American Airlines
DE410,LHR,ATL,2025-01-08 21:00:00,2025-01-09 08:00:00,76,Heavy Rain,Air Traffic,Delta
AI336,SIN,DXB,2025-02-24 15:00:00,2025-02-24 17:00:00,7,Clear,Air Traffic,Air France
EM183,LHR,ORD,2025-01-05 19:00:00,2025-01-06 04:00:00,64,Snow,Security,Emirates
LU837,AMS,LHR,2025-03-23 07:00:00,2025-03-23 15:00:00,15,Heavy Rain,Technical Issue,Lufthansa
DE548,ATL,JFK,2025-01-23 17:00:00,2025-01-23 20:00:00,1,Clear,Crew Issues,Delta
AI242,ORD,DFW,2025-03-03 22:00:00,2025-03-04 09:00:00,54,Storm,Weather,Air France
AI315,AMS,DFW,2025-01-12 14:00:00,2025-01-12 16:00:00,17,Clear,Air Traffic,Air France
AM677,SIN,AMS,2025-03-08 15:00:00,2025-03-08 23:00:00,8,Clear,Weather,American Airlines
DE352,LAX,ATL,2025-03-23 13:00:00,2025-03-23 18:00:00,9,Storm,Security,Delta
LU998,AMS,JFK,2025-02-05 13:00:00,2025-02-05 15:00:00,53,Storm,Security,Lufthansa
DE178,ORD,SIN,2025-01-06 12:00:00,2025-01-06 18:00:00,20,Clear,Weather,Delta
AM877,ATL,DFW,2025-01-18 05:00:00,2025-01-18 08:00:00,30,Fog,Weather,American Airlines
AM248,DXB,LAX,2025-01-11 17:00:00,2025-01-12 02:00:00,22,Clear,Weather,American Airlines
EM458,DXB,ORD,2025-01-07 15:00:00,2025-01-07 17:00:00,102,Storm,Weather,Emirates
EM582,ATL,DFW,2025-02-05 05:00:00,2025-02-05 13:00:00,115,Fog,Technical Issue,Emirates
UN673,LHR,AMS,2025-01-14 06:00:00,2025-01-14 12:00:00,4,Clear,Weather,United
DE112,DFW,LHR,2025-03-20 20:00:00,2025-03-21 07:00:00,119,Fog,Technical Issue,Delta
DE799,DFW,LAX,2025-03-26 20:00:00,2025-03-26 23:00:00,3,Clear,Weather,Delta
LU693,DFW,ATL,2025-02-24 20:00:00,2025-02-25 07:00:00,1,Clear,Weather,Lufthansa
DE219,CDG,ORD,2025-02-21 05:00:00,2025-02-21 16:00:00,140,Snow,Weather,Delta
EM383,DXB,SIN,2025-01-01 01:00:00,2025-01-01 03:00:00,57,Snow,Weather,Emirates
EM566,LHR,LAX,2025-01-08 21:00:00,2025-01-09 06:00:00,16,Clear,Weather,Emirates
DE720,DFW,JFK,2025-03-28 04:00:00,2025-03-28 13:00:00,24,Clear,Air Traffic,Delta
LU750,ORD,DXB,2025-01-24 16:00:00,2025-01-24 22:00:00,57,Storm,Technical Issue,Lufthansa
AI451,ATL,ORD,2025-01-07 18:00:00,2025-01-07 22:00:00,4,Clear,Technical Issue,Air France
LU481,CDG,AMS,2025-03-22 07:00:00,2025-03-22 16:00:00,177,Storm,Weather,Lufthansa
UN473,ATL,SIN,2025-02-10 22:00:00,2025-02-11 01:00:00,3,Clear,Weather,United
AI223,DFW,LAX,2025-01-11 09:00:00,2025-01-11 11:00:00,152,Heavy Rain,Weather,Air France
EM221,SIN,DXB,2025-01-22 19:00:00,2025-01-23 00:00:00,18,Clear,Security,Emirates
AI459,LHR,CDG,2025-01-12 08:00:00,2025-01-12 11:00:00,148,Storm,Crew Issues,Air France
EM565,LHR,CDG,2025-03-16 21:00:00,2025-03-17 04:00:00,21,Heavy Rain,Technical Issue,Emirates
LU560,LAX,AMS,2025-03-20 19:00:00,2025-03-20 22:00:00,18,Clear,Weather,Lufthansa
EM129,AMS,DFW,2025-03-02 00:00:00,2025-03-02 09:00:00,117,Storm,Technical Issue,Emirates
LU360,LHR,SIN,2025-01-08 09:00:00,2025-01-08 20:00:00,0,Clear,No Delay,Lufthansa
DE109,ORD,JFK,2025-01-04 07:00:00,2025-01-04 11:00:00,9,Clear,Air Traffic,Delta
AI333,DFW,CDG,2025-01-27 01:00:00,2025-01-27 11:00:00,8,Clear,Technical Issue,Air France
AM834,SIN,AMS,2025-01-12 16:00:00,2025-01-13 02:00:00,120,Heavy Rain,Air Traffic,American Airlines
LU635,LHR,AMS,2025-02-25 18:00:00,2025-02-26 00:00:00,14,Clear,Technical Issue,Lufthansa
UN137,AMS,ORD,2025-01-26 04:00:00,2025-01-26 11:00:00,7,Clear,Weather,United
AM827,ATL,SIN,2025-02-14 19:00:00,2025-02-14 21:00:00,3,Storm,Technical Issue,American Airlines
LU159,DFW,CDG,2025-01-04 23:00:00,2025-01-05 08:00:00,81,Fog,Air Traffic,Lufthansa
UN216,ORD,JFK,2025-03-04 13:00:00,2025-03-04 17:00:00,12,Clear,Air Traffic,United
UN930,ATL,ORD,2025-02-17 12:00:00,2025-02-17 17:00:00,16,Clear,Technical Issue,United
AI359,ATL,JFK,2025-02-16 10:00:00,2025-02-16 20:00:00,44,Heavy Rain,Weather,Air France
LU672,ATL,LHR,2025-02-16 13:00:00,2025-02-16 21:00:00,143,Storm,Weather,Lufthansa
