flight_number,airline,departure_airport,destination,departure_time,status,delay_minutes,delay_reason,weather_condition
FL1765,Qatar Airways,JFK,ATL,2025-04-01 06:10:00,On Time,0,N/A,Storm
FL9864,United,SIN,CDG,2025-04-01 02:46:00,Delayed,277,Late Arrival of Aircraft,Storm
FL8992,British Airways,LHR,YYZ,2025-04-01 01:57:00,On Time,0,N/A,Fog
FL4231,United,SIN,PEK,2025-04-01 21:01:00,Delayed,287,Security Issue,Fog
FL9819,Singapore Airlines,CDG,PEK,2025-04-01 04:16:00,On Time,0,N/A,Storm
FL6880,Qatar Airways,LAX,ICN,2025-04-01 17:03:00,Delayed,18,Crew Shortage,Fog
FL3802,Air France,JFK,LHR,2025-04-01 13:32:00,Canceled,0,N/A,Clear
FL1563,Lufthansa,SIN,SYD,2025-04-01 20:35:00,On Time,0,N/A,Fog
FL8909,United,HND,ATL,2025-04-01 21:10:00,On Time,0,N/A,Fog
FL8883,Delta,CDG,PEK,2025-04-01 20:13:00,On Time,0,N/A,Windy
FL2759,United,CDG,YYZ,2025-04-01 18:01:00,Delayed,230,Air Traffic Congestion,Snow
FL4585,Emirates,ATL,LHR,2025-04-01 17:12:00,On Time,0,N/A,Rain
FL5382,Qatar Airways,HND,YYZ,2025-04-01 17:32:00,On Time,0,N/A,Fog
FL9475,American Airlines,ORD,PEK,2025-04-01 22:54:00,Delayed,153,Air Traffic Congestion,Fog
FL1698,British Airways,YYZ,ORD,2025-04-01 15:26:00,On Time,0,N/A,Storm
FL4490,Delta,LHR,FRA,2025-04-01 14:49:00,On Time,0,N/A,Snow
FL7273,Singapore Airlines,YYZ,PEK,2025-04-01 13:05:00,On Time,0,N/A,Clear
FL7884,Delta,SFO,ATL,2025-04-01 02:18:00,On Time,0,N/A,Windy
FL7970,Air France,JFK,LAX,2025-04-01 06:10:00,On Time,0,N/A,Snow
FL5872,Delta,CDG,SYD,2025-04-01 18:20:00,On Time,0,N/A,Rain
FL6616,Delta,PEK,HND,2025-04-01 00:49:00,Delayed,15,Late Arrival of Aircraft,Windy
FL1140,Air France,ICN,HND,2025-04-01 16:32:00,On Time,0,N/A,Rain
FL7730,Delta,YYZ,ATL,2025-04-01 20:22:00,On Time,0,N/A,Rain
FL6775,Lufthansa,SYD,SIN,2025-04-01 01:30:00,On Time,0,N/A,Rain
FL4900,Delta,PEK,HND,2025-04-01 21:11:00,On Time,0,N/A,Clear
FL7798,Turkish Airlines,FRA,LHR,2025-04-01 00:21:00,Delayed,225,Late Arrival of Aircraft,Fog
FL4343,Air France,FRA,SFO,2025-04-01 14:56:00,On Time,0,N/A,Windy
FL8970,British Airways,JFK,HND,2025-04-01 07:51:00,On Time,0,N/A,Storm
FL8988,United,SFO,DXB,2025-04-01 17:44:00,Canceled,0,N/A,Snow
FL3600,Turkish Airlines,SYD,LAX,2025-04-01 04:55:00,Delayed,238,Late Arrival of Aircraft,Snow
FL4682,Qatar Airways,SYD,ORD,2025-04-01 19:29:00,On Time,0,N/A,Fog
FL1569,Lufthansa,YYZ,JFK,2025-04-01 06:42:00,On Time,0,N/A,Fog
FL5272,Air France,LHR,AMS,2025-04-01 03:27:00,On Time,0,N/A,Storm
FL3750,Lufthansa,PEK,JFK,2025-04-01 19:46:00,On Time,0,N/A,Rain
FL7518,Turkish Airlines,LAX,LHR,2025-04-01 04:08:00,On Time,0,N/A,Snow
FL6505,Lufthansa,AMS,DXB,2025-04-01 22:03:00,On Time,0,N/A,Windy
FL5506,Singapore Airlines,AMS,FRA,2025-04-01 00:07:00,On Time,0,N/A,Snow
FL2421,Air France,YYZ,SIN,2025-04-01 19:50:00,Canceled,0,N/A,Windy
FL1052,Turkish Airlines,SYD,CDG,2025-04-01 09:47:00,On Time,0,N/A,Windy
FL2617,Qatar Airways,SFO,CDG,2025-04-01 09:44:00,On Time,0,N/A,Rain
FL7701,United,ATL,SYD,2025-04-01 14:50:00,On Time,0,N/A,Storm
FL9059,United,JFK,PEK,2025-04-01 03:46:00,On Time,0,N/A,Rain
FL6912,Qatar Airways,PEK,LHR,2025-04-01 04:11:00,On Time,0,N/A,Clear
FL5715,Lufthansa,AMS,ORD,2025-04-01 11:44:00,On Time,0,N/A,Windy
FL9771,Turkish Airlines,SIN,CDG,2025-04-01 00:26:00,On Time,0,N/A,Windy
FL3705,Air France,AMS,SFO,2025-04-01 23:53:00,On Time,0,N/A,Rain
FL3665,Lufthansa,LHR,JFK,2025-04-01 15:51:00,Delayed,27,Technical Issue,Clear
FL8426,United,AMS,PEK,2025-04-01 15:27:00,On Time,0,N/A,Snow
FL4060,Singapore Airlines,SIN,ICN,2025-04-01 10:14:00,Canceled,0,N/A,Windy
FL6976,Lufthansa,LHR,ORD,2025-04-01 16:16:00,On Time,0,N/A,Fog
FL2971,Turkish Airlines,SFO,LHR,2025-04-01 03:20:00,Delayed,188,Air Traffic Congestion,Storm
FL7210,Turkish Airlines,HND,ICN,2025-04-01 07:40:00,On Time,0,N/A,Snow
FL5787,Emirates,CDG,LHR,2025-04-01 11:25:00,Delayed,33,Late Arrival of Aircraft,Storm
FL1308,Lufthansa,ORD,LAX,2025-04-01 01:35:00,Delayed,270,Security Issue,Storm
FL9227,Qatar Airways,ICN,SFO,2025-04-01 03:24:00,On Time,0,N/A,Snow
FL9654,Singapore Airlines,SIN,ATL,2025-04-01 19:06:00,On Time,0,N/A,Clear
FL3502,United,LAX,YYZ,2025-04-01 22:49:00,On Time,0,N/A,Fog
FL7907,Lufthansa,SFO,ORD,2025-04-01 02:55:00,On Time,0,N/A,Fog
FL4819,Qatar Airways,JFK,AMS,2025-04-01 16:39:00,On Time,0,N/A,Snow
FL9613,Emirates,YYZ,ATL,2025-04-01 23:30:00,On Time,0,N/A,Windy
FL1655,Air France,AMS,LHR,2025-04-01 11:49:00,On Time,0,N/A,Clear
FL1865,Delta,ORD,DXB,2025-04-01 05:38:00,On Time,0,N/A,Fog
FL5555,American Airlines,PEK,LHR,2025-04-01 19:40:00,On Time,0,N/A,Storm
FL9226,American Airlines,SIN,JFK,2025-04-01 03:49:00,Canceled,0,N/A,Clear
FL2965,Air France,AMS,SIN,2025-04-01 10:48:00,Delayed,283,Air Traffic Congestion,Storm
FL3338,Air France,JFK,DXB,2025-04-01 01:09:00,Delayed,87,Late Arrival of Aircraft,Storm
FL3962,United,FRA,PEK,2025-04-01 04:26:00,On Time,0,N/A,Fog
FL7933,Qatar Airways,DXB,SYD,2025-04-01 08:37:00,On Time,0,N/A,Windy
FL4018,Emirates,YYZ,PEK,2025-04-01 11:05:00,On Time,0,N/A,Windy
FL3793,Turkish Airlines,ATL,FRA,2025-04-02 17:49:00,On Time,0,N/A,Windy
FL7194,British Airways,SYD,SFO,2025-04-02 03:08:00,Delayed,95,Late Arrival of Aircraft,Fog
FL2768,United,CDG,HND,2025-04-02 06:35:00,On Time,0,N/A,Windy
FL5092,Singapore Airlines,JFK,CDG,2025-04-02 06:55:00,On Time,0,N/A,Clear
FL4000,Qatar Airways,PEK,YYZ,2025-04-02 08:11:00,On Time,0,N/A,Storm
FL8961,Air France,AMS,ATL,2025-04-02 09:56:00,On Time,0,N/A,Clear
FL3775,United,ATL,HND,2025-04-02 08:51:00,Delayed,110,Crew Shortage,Storm
FL2375,Singapore Airlines,ORD,DXB,2025-04-02 17:30:00,On Time,0,N/A,Clear
FL7116,Emirates,AMS,YYZ,2025-04-02 04:02:00,On Time,0,N/A,Clear
FL7824,Lufthansa,CDG,AMS,2025-04-02 19:23:00,On Time,0,N/A,Rain
FL4057,American Airlines,CDG,YYZ,2025-04-02 11:34:00,On Time,0,N/A,Storm
FL1686,Air France,LAX,SYD,2025-04-02 05:07:00,On Time,0,N/A,Clear
FL1756,United,SYD,SIN,2025-04-02 10:08:00,On Time,0,N/A,Windy
FL9933,Turkish Airlines,DXB,PEK,2025-04-02 11:47:00,On Time,0,N/A,Rain
FL9366,Delta,YYZ,SFO,2025-04-02 14:40:00,Delayed,103,Air Traffic Congestion,Fog
FL2567,American Airlines,SYD,FRA,2025-04-02 14:38:00,Delayed,235,Weather,Storm
FL9643,Qatar Airways,SIN,CDG,2025-04-02 11:09:00,On Time,0,N/A,Storm
FL5671,Air France,LAX,JFK,2025-04-02 10:20:00,On Time,0,N/A,Snow
FL2954,Delta,LAX,ICN,2025-04-02 20:28:00,Delayed,1,Security Issue,Rain
FL6205,Air France,LHR,SIN,2025-04-02 18:01:00,On Time,0,N/A,Storm
FL2244,Turkish Airlines,ORD,LHR,2025-04-02 14:52:00,Delayed,104,Technical Issue,Fog
FL8881,Delta,LHR,LAX,2025-04-02 04:54:00,On Time,0,N/A,Rain
FL2526,Singapore Airlines,SYD,ICN,2025-04-02 20:11:00,Delayed,27,Security Issue,Fog
FL2814,Qatar Airways,FRA,JFK,2025-04-02 14:34:00,On Time,0,N/A,Windy
FL5435,Lufthansa,CDG,SIN,2025-04-02 03:51:00,On Time,0,N/A,Snow
FL7722,Singapore Airlines,PEK,ORD,2025-04-02 12:17:00,Delayed,149,Late Arrival of Aircraft,Fog
FL4141,Air France,ORD,SFO,2025-04-02 22:34:00,On Time,0,N/A,Rain
FL1255,Singapore Airlines,ORD,JFK,2025-04-02 08:13:00,Delayed,45,Crew Shortage,Fog
FL1371,Turkish Airlines,ATL,YYZ,2025-04-02 03:04:00,Delayed,288,Crew Shortage,Storm
FL7670,Air France,SFO,CDG,2025-04-02 20:00:00,On Time,0,N/A,Windy
FL1375,Delta,SIN,HND,2025-04-02 12:50:00,On Time,0,N/A,Fog
FL6619,Lufthansa,PEK,CDG,2025-04-02 03:07:00,On Time,0,N/A,Storm
FL1276,American Airlines,SYD,LAX,2025-04-02 07:30:00,Canceled,0,N/A,Rain
FL7955,American Airlines,ORD,LHR,2025-04-02 09:39:00,On Time,0,N/A,Rain
FL1580,British Airways,SFO,AMS,2025-04-02 15:11:00,Delayed,295,Crew Shortage,Storm
FL3961,Turkish Airlines,LHR,ICN,2025-04-02 07:33:00,On Time,0,N/A,Rain
FL7564,Delta,DXB,ATL,2025-04-02 17:36:00,On Time,0,N/A,Windy
FL3574,British Airways,ICN,AMS,2025-04-02 14:43:00,On Time,0,N/A,Clear
FL1954,United,LHR,ORD,2025-04-02 12:37:00,On Time,0,N/A,Storm
FL3731,Air France,JFK,AMS,2025-04-02 16:14:00,Delayed,17,Air Traffic Congestion,Clear
FL6362,Delta,SIN,JFK,2025-04-02 18:37:00,Delayed,223,Crew Shortage,Storm
FL7612,British Airways,ATL,LAX,2025-04-02 05:26:00,On Time,0,N/A,Fog
FL3552,Delta,YYZ,AMS,2025-04-02 07:48:00,On Time,0,N/A,Rain
FL1077,British Airways,HND,DXB,2025-04-02 22:38:00,Canceled,0,N/A,Clear
FL2792,Singapore Airlines,LAX,ATL,2025-04-02 09:54:00,On Time,0,N/A,Snow
FL9975,Turkish Airlines,CDG,DXB,2025-04-02 01:19:00,On Time,0,N/A,Rain
FL2166,American Airlines,LHR,LAX,2025-04-02 16:44:00,On Time,0,N/A,Fog
FL7745,United,ORD,SFO,2025-04-02 08:39:00,On Time,0,N/A,Storm
FL3464,Turkish Airlines,PEK,HND,2025-04-02 12:09:00,On Time,0,N/A,Windy
FL6221,British Airways,DXB,HND,2025-04-02 07:48:00,Canceled,0,N/A,Clear
FL9421,Lufthansa,ICN,FRA,2025-04-02 01:48:00,Delayed,27,Weather,Clear
FL3039,Air France,SFO,FRA,2025-04-02 10:30:00,On Time,0,N/A,Windy
FL4808,Lufthansa,SIN,CDG,2025-04-02 07:20:00,On Time,0,N/A,Storm
FL4781,American Airlines,DXB,CDG,2025-04-02 12:51:00,Delayed,14,Crew Shortage,Storm
FL7831,Air France,DXB,HND,2025-04-02 08:40:00,Delayed,287,Technical Issue,Fog
FL7928,British Airways,SIN,AMS,2025-04-02 05:04:00,On Time,0,N/A,Snow
FL2073,Turkish Airlines,LAX,PEK,2025-04-02 22:40:00,Delayed,144,Security Issue,Fog
FL5443,Singapore Airlines,SFO,SIN,2025-04-02 14:26:00,On Time,0,N/A,Snow
FL1723,Turkish Airlines,ATL,DXB,2025-04-02 18:38:00,On Time,0,N/A,Storm
FL6070,Turkish Airlines,CDG,FRA,2025-04-02 20:37:00,On Time,0,N/A,Fog
FL7078,Emirates,ATL,SYD,2025-04-02 21:03:00,On Time,0,N/A,Rain
FL9083,Lufthansa,DXB,YYZ,2025-04-02 05:07:00,On Time,0,N/A,Rain
FL5294,British Airways,CDG,AMS,2025-04-02 04:51:00,On Time,0,N/A,Clear
FL2028,British Airways,LAX,ATL,2025-04-02 18:07:00,On Time,0,N/A,Windy
FL1361,Singapore Airlines,SYD,LHR,2025-04-02 11:03:00,Delayed,186,Security Issue,Storm
FL7595,Air France,SYD,JFK,2025-04-02 04:29:00,On Time,0,N/A,Snow
FL2044,American Airlines,SIN,CDG,2025-04-02 00:59:00,On Time,0,N/A,Snow
FL1540,Emirates,PEK,DXB,2025-04-02 03:26:00,On Time,0,N/A,Fog
FL4213,Emirates,JFK,ORD,2025-04-02 20:22:00,On Time,0,N/A,Fog
FL3712,Delta,FRA,SIN,2025-04-02 02:33:00,On Time,0,N/A,Rain
FL9779,Emirates,ATL,HND,2025-04-02 02:18:00,On Time,0,N/A,Fog
FL1417,Delta,CDG,FRA,2025-04-02 03:49:00,On Time,0,N/A,Storm
FL5439,Delta,SFO,YYZ,2025-04-02 04:58:00,On Time,0,N/A,Windy
FL5345,Emirates,CDG,HND,2025-04-02 19:59:00,On Time,0,N/A,Storm
FL6987,Singapore Airlines,LAX,CDG,2025-04-02 20:41:00,On Time,0,N/A,Rain
FL1231,Lufthansa,PEK,FRA,2025-04-02 01:19:00,On Time,0,N/A,Rain
FL8631,Air France,ORD,LHR,2025-04-02 01:11:00,On Time,0,N/A,Snow
FL4050,Turkish Airlines,ATL,HND,2025-04-02 13:31:00,Delayed,273,Air Traffic Congestion,Storm
FL7210,Lufthansa,LAX,ICN,2025-04-02 07:42:00,On Time,0,N/A,Fog
FL1745,Turkish Airlines,SYD,AMS,2025-04-02 16:58:00,On Time,0,N/A,Snow
FL7096,Air France,DXB,YYZ,2025-04-02 14:20:00,On Time,0,N/A,Windy
FL5778,American Airlines,DXB,SYD,2025-04-02 05:08:00,On Time,0,N/A,Clear
FL8638,Air France,PEK,LAX,2025-04-02 14:36:00,On Time,0,N/A,Fog
FL4529,Emirates,LAX,AMS,2025-04-02 01:04:00,On Time,0,N/A,Clear
FL7030,British Airways,HND,CDG,2025-04-02 19:28:00,On Time,0,N/A,Clear
FL6180,American Airlines,AMS,ICN,2025-04-02 23:53:00,On Time,0,N/A,Rain
FL7774,British Airways,LHR,YYZ,2025-04-02 17:32:00,On Time,0,N/A,Snow
FL3752,Singapore Airlines,YYZ,FRA,2025-04-02 15:00:00,On Time,0,N/A,Windy
FL7756,Air France,FRA,LAX,2025-04-02 11:11:00,On Time,0,N/A,Snow
FL5795,Singapore Airlines,JFK,SFO,2025-04-02 13:28:00,On Time,0,N/A,Storm
FL2845,Qatar Airways,ATL,ORD,2025-04-02 10:31:00,On Time,0,N/A,Storm
FL2000,Lufthansa,CDG,ATL,2025-04-02 15:50:00,On Time,0,N/A,Clear
FL2594,Turkish Airlines,ATL,SIN,2025-04-02 18:10:00,On Time,0,N/A,Clear
FL4346,Singapore Airlines,PEK,LAX,2025-04-02 18:49:00,On Time,0,N/A,Fog
FL3288,Qatar Airways,HND,LAX,2025-04-02 20:49:00,On Time,0,N/A,Clear
FL1796,Lufthansa,YYZ,SYD,2025-04-02 15:26:00,Delayed,198,Air Traffic Congestion,Storm
FL3900,Lufthansa,PEK,SIN,2025-04-02 16:50:00,On Time,0,N/A,Snow
FL6880,Air France,SIN,PEK,2025-04-02 14:16:00,Delayed,1,Crew Shortage,Windy
FL3919,American Airlines,DXB,ORD,2025-04-02 16:32:00,On Time,0,N/A,Storm
FL4071,Emirates,LAX,FRA,2025-04-02 07:12:00,On Time,0,N/A,Snow
FL6564,British Airways,SIN,AMS,2025-04-02 20:07:00,On Time,0,N/A,Storm
FL3854,Lufthansa,SIN,ATL,2025-04-02 10:10:00,On Time,0,N/A,Rain
FL6041,Qatar Airways,ATL,ORD,2025-04-02 18:02:00,On Time,0,N/A,Snow
FL8434,American Airlines,CDG,FRA,2025-04-02 00:00:00,On Time,0,N/A,Rain
FL2309,British Airways,LHR,SIN,2025-04-02 17:48:00,Delayed,150,Security Issue,Storm
FL8589,Emirates,SYD,DXB,2025-04-02 22:50:00,On Time,0,N/A,Storm
FL5731,Air France,SYD,JFK,2025-04-02 05:47:00,Delayed,21,Late Arrival of Aircraft,Clear
FL4948,American Airlines,AMS,PEK,2025-04-02 12:01:00,On Time,0,N/A,Fog
FL2859,Qatar Airways,ORD,LHR,2025-04-02 02:27:00,On Time,0,N/A,Clear
FL4716,Emirates,JFK,SIN,2025-04-02 20:22:00,On Time,0,N/A,Clear
FL2894,Singapore Airlines,YYZ,ATL,2025-04-02 01:42:00,On Time,0,N/A,Fog
FL3970,Air France,SYD,AMS,2025-04-02 10:29:00,On Time,0,N/A,Windy
FL2718,Singapore Airlines,HND,ORD,2025-04-02 16:18:00,On Time,0,N/A,Storm
FL5450,Delta,PEK,JFK,2025-04-02 08:43:00,On Time,0,N/A,Clear
FL3382,Emirates,YYZ,LAX,2025-04-02 09:04:00,On Time,0,N/A,Windy
FL3098,Singapore Airlines,ATL,PEK,2025-04-02 19:01:00,On Time,0,N/A,Snow
FL5046,American Airlines,ICN,SFO,2025-04-02 11:17:00,On Time,0,N/A,Snow
FL5328,American Airlines,SIN,ORD,2025-04-02 03:10:00,On Time,0,N/A,Windy
FL1013,Lufthansa,SFO,AMS,2025-04-02 21:48:00,Delayed,263,Technical Issue,Snow
FL2387,Qatar Airways,SIN,ATL,2025-04-02 12:13:00,On Time,0,N/A,Rain
FL4506,American Airlines,HND,ATL,2025-04-03 13:29:00,On Time,0,N/A,Storm
FL1691,Turkish Airlines,LHR,ATL,2025-04-03 22:56:00,On Time,0,N/A,Clear
FL2259,United,AMS,HND,2025-04-03 20:03:00,Delayed,248,Air Traffic Congestion,Snow
FL7783,Singapore Airlines,SYD,CDG,2025-04-03 09:44:00,On Time,0,N/A,Rain
FL4942,Turkish Airlines,HND,YYZ,2025-04-03 05:44:00,On Time,0,N/A,Snow
FL6345,Lufthansa,ATL,CDG,2025-04-03 16:30:00,On Time,0,N/A,Clear
FL5979,American Airlines,SFO,HND,2025-04-03 14:33:00,On Time,0,N/A,Windy
FL5415,Emirates,ATL,HND,2025-04-03 12:05:00,On Time,0,N/A,Fog
FL6567,Air France,SYD,LAX,2025-04-03 04:52:00,On Time,0,N/A,Rain
FL7379,United,YYZ,ATL,2025-04-03 04:51:00,Delayed,295,Technical Issue,Storm
FL2178,United,ORD,SYD,2025-04-03 15:02:00,Delayed,134,Security Issue,Fog
FL4330,Air France,PEK,LHR,2025-04-03 14:24:00,On Time,0,N/A,Storm
FL6297,Lufthansa,SIN,DXB,2025-04-03 07:47:00,Delayed,7,Technical Issue,Clear
FL6685,United,LHR,SYD,2025-04-03 07:48:00,On Time,0,N/A,Snow
FL8887,Emirates,LAX,FRA,2025-04-03 07:10:00,On Time,0,N/A,Fog
FL2194,Delta,DXB,LAX,2025-04-03 01:46:00,On Time,0,N/A,Rain
FL6617,Lufthansa,AMS,YYZ,2025-04-03 03:14:00,On Time,0,N/A,Windy
FL9218,Qatar Airways,ATL,SFO,2025-04-03 23:41:00,On Time,0,N/A,Rain
FL5125,Air France,PEK,SFO,2025-04-03 01:44:00,Delayed,241,Late Arrival of Aircraft,Snow
FL1326,Turkish Airlines,LHR,ATL,2025-04-03 22:17:00,On Time,0,N/A,Clear
FL5728,Qatar Airways,SFO,ATL,2025-04-03 14:29:00,Delayed,244,Weather,Storm
FL6087,Lufthansa,SIN,FRA,2025-04-03 18:41:00,On Time,0,N/A,Clear
FL9335,United,SFO,ATL,2025-04-03 15:55:00,On Time,0,N/A,Snow
FL9876,Lufthansa,DXB,LHR,2025-04-03 21:21:00,Delayed,135,Weather,Fog
FL2748,Air France,LHR,YYZ,2025-04-03 00:22:00,Delayed,214,Crew Shortage,Snow
FL8059,United,JFK,DXB,2025-04-03 16:01:00,On Time,0,N/A,Rain
FL2576,Lufthansa,LHR,JFK,2025-04-03 21:00:00,On Time,0,N/A,Rain
FL7517,Lufthansa,ATL,AMS,2025-04-03 19:06:00,Delayed,284,Technical Issue,Storm
FL3800,Qatar Airways,ORD,AMS,2025-04-03 22:00:00,On Time,0,N/A,Fog
FL9136,Lufthansa,JFK,ICN,2025-04-03 01:33:00,On Time,0,N/A,Storm
FL6067,Delta,ATL,AMS,2025-04-03 16:42:00,On Time,0,N/A,Snow
FL8446,Singapore Airlines,ATL,AMS,2025-04-03 16:44:00,On Time,0,N/A,Snow
FL8921,Lufthansa,JFK,LHR,2025-04-03 16:17:00,On Time,0,N/A,Storm
FL2909,Turkish Airlines,HND,LHR,2025-04-03 22:30:00,On Time,0,N/A,Rain
FL1484,Air France,SYD,SIN,2025-04-03 12:24:00,Delayed,174,Technical Issue,Storm
FL2240,Emirates,LAX,SIN,2025-04-03 04:29:00,Delayed,179,Security Issue,Snow
FL7243,Emirates,LAX,CDG,2025-04-03 06:59:00,Delayed,10,Security Issue,Storm
FL1034,Delta,DXB,LAX,2025-04-03 03:57:00,On Time,0,N/A,Snow
FL2046,American Airlines,ICN,AMS,2025-04-03 03:38:00,Delayed,147,Technical Issue,Snow
FL3489,Singapore Airlines,LAX,HND,2025-04-03 23:49:00,Canceled,0,N/A,Rain
FL3369,United,SYD,DXB,2025-04-03 08:46:00,Delayed,139,Security Issue,Snow
FL9754,United,CDG,SFO,2025-04-03 18:10:00,On Time,0,N/A,Snow
FL2093,Delta,DXB,LHR,2025-04-03 20:41:00,Delayed,112,Crew Shortage,Storm
FL4357,Lufthansa,SFO,YYZ,2025-04-03 05:58:00,On Time,0,N/A,Snow
FL8722,Emirates,FRA,LHR,2025-04-03 02:40:00,On Time,0,N/A,Windy
FL5516,Air France,SFO,ATL,2025-04-03 19:01:00,On Time,0,N/A,Fog
FL4352,Emirates,PEK,ATL,2025-04-03 22:51:00,Delayed,284,Crew Shortage,Snow
FL3893,Air France,LAX,YYZ,2025-04-03 23:28:00,Delayed,97,Crew Shortage,Fog
FL1090,Singapore Airlines,YYZ,SFO,2025-04-03 09:34:00,Delayed,8,Security Issue,Clear
FL9432,Lufthansa,LAX,ORD,2025-04-03 07:33:00,On Time,0,N/A,Rain
FL6925,Air France,DXB,SIN,2025-04-03 14:39:00,On Time,0,N/A,Rain
FL7031,Singapore Airlines,ORD,CDG,2025-04-03 10:06:00,Delayed,57,Late Arrival of Aircraft,Rain
FL3294,Turkish Airlines,SIN,LHR,2025-04-03 10:42:00,On Time,0,N/A,Fog
FL6910,United,ATL,FRA,2025-04-03 10:43:00,On Time,0,N/A,Fog
